,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-06-11-US-MTV-1,Pixel4,1275934603446,1,17,GPS_L1,1275934603371287704,6492161.023,-14057499.078,21995796.607,2669.78,304.117,-609.709,83720.825,0.003,22476524.571,2.099,0.0,3.267,4.147,22560237.981999997,G17,1275934604446,-2695274.4061277146,-4303330.315872612,3846873.461644085,635.9257332307875
1,2020-06-11-US-MTV-1,Pixel4,1275934603446,1,15,GPS_L1,1275934603360959738,-25056185.843,-4725660.782,-8412750.839,998.237,-381.329,-2829.133,-67437.085,0.002,25572770.884,6.296,0.0,6.897,25.087,25505301.814999998,G15,1275934604446,-2695274.4061277146,-4303330.315872612,3846873.461644085,635.9257332307875
2,2020-06-11-US-MTV-1,Pixel4,1275934603446,1,19,GPS_L1,1275934603377214167,-2274149.569,-14896169.696,21574082.732,2780.943,369.251,537.661,-43923.771,0.001,20699815.661,3.298,0.0,2.457,2.942,20655886.490999997,G19,1275934604446,-2695274.4061277146,-4303330.315872612,3846873.461644085,635.9257332307875
3,2020-06-11-US-MTV-1,Pixel4,1275934603446,1,2,GPS_L1,1275934603373061318,-13741719.269,-22756964.282,267229.514,218.646,-183.816,3169.632,-141077.442,-0.002,21944808.47,3.598,0.0,3.237,3.681,21803724.109999996,G2,1275934604446,-2695274.4061277146,-4303330.315872612,3846873.461644085,635.9257332307875
4,2020-06-11-US-MTV-1,Pixel4,1275934603446,1,6,GPS_L1,1275934603376440026,-5026290.37,-24081347.115,10004690.017,760.884,1025.983,2870.764,-86063.377,-0.002,20931897.294,1.499,0.0,2.543,2.914,20845828.459999997,G6,1275934604446,-2695274.4061277146,-4303330.315872612,3846873.461644085,635.9257332307875
5,2020-06-11-US-MTV-1,Pixel4,1275934603446,1,12,GPS_L1,1275934603370702016,-17969668.101,2718259.659,19076312.519,1368.237,-2064.204,1578.698,32157.302,-0.002,22652109.416,3.298,0.0,3.738,5.207,22684257.773000002,G12,1275934604446,-2695274.4061277146,-4303330.315872612,3846873.461644085,635.9257332307875
6,2020-06-11-US-MTV-1,Pixel4,1275934603446,1,24,GPS_L1,1275934603375900295,-19143061.484,-8390062.91,16397004.033,-908.196,-1918.94,-1981.249,-4265.062,-0.0,21093704.577,3.598,0.0,2.572,3.073,21089433.87,G24,1275934604446,-2695274.4061277146,-4303330.315872612,3846873.461644085,635.9257332307875
7,2020-06-11-US-MTV-1,Pixel4,1275934603446,1,28,GPS_L1,1275934603367797017,11386477.883,-23046203.109,7556876.712,688.93,-574.834,-3011.187,212723.503,-0.0,23523006.206,4.797,0.0,4.787,6.655,23735718.266999997,G28,1275934604446,-2695274.4061277146,-4303330.315872612,3846873.461644085,635.9257332307875
0,2020-06-11-US-MTV-1,Pixel4,1275934604446,1,17,GPS_L1,1275934604371286141,6494830.771,-14057195.05,21995186.673,2669.726,303.941,-610.159,83720.828,0.003,22476993.146,2.698,0.0,3.267,4.147,22560706.560000002,G17,1275934605446,-2695290.401821148,-4303322.859256789,3846870.796338048,624.9502805454624
1,2020-06-11-US-MTV-1,Pixel4,1275934604446,1,15,GPS_L1,1275934604360958200,-25055187.443,-4726042.147,-8415579.882,998.564,-381.403,-2828.96,-67437.083,0.002,25573231.965,13.79,0.0,6.898,25.104,25505762.880000003,G15,1275934605446,-2695290.401821148,-4303322.859256789,3846870.796338048,624.9502805454624
2,2020-06-11-US-MTV-1,Pixel4,1275934604446,1,19,GPS_L1,1275934604377213099,-2271368.583,-14895800.525,21574620.156,2781.034,369.092,537.189,-43923.771,0.001,20700135.839,5.096,0.0,2.457,2.942,20656206.669,G19,1275934605446,-2695290.401821148,-4303322.859256789,3846870.796338048,624.9502805454624
3,2020-06-11-US-MTV-1,Pixel4,1275934604446,1,2,GPS_L1,1275934604373062961,-13741500.526,-22757147.932,270399.148,218.838,-183.486,3169.626,-141077.443,-0.002,21944315.911,5.696,0.0,3.237,3.681,21803231.549999997,G2,1275934605446,-2695290.401821148,-4303322.859256789,3846870.796338048,624.9502805454624
4,2020-06-11-US-MTV-1,Pixel4,1275934604446,1,6,GPS_L1,1275934604376440751,-5025529.37,-24080320.994,10007560.676,761.114,1026.256,2870.551,-86063.379,-0.002,20931679.944,1.499,0.0,2.543,2.914,20845611.107999995,G6,1275934605446,-2695290.401821148,-4303322.859256789,3846870.796338048,624.9502805454624
5,2020-06-11-US-MTV-1,Pixel4,1275934604446,1,12,GPS_L1,1275934604370703757,-17968299.865,2716195.328,19077891.012,1368.231,-2064.448,1578.282,32157.3,-0.002,22651587.477,2.099,0.0,3.738,5.206,22683735.833,G12,1275934605446,-2695290.401821148,-4303322.859256789,3846870.796338048,624.9502805454624
6,2020-06-11-US-MTV-1,Pixel4,1275934604446,1,24,GPS_L1,1275934604375900670,-19143969.668,-8391981.717,16395022.608,-908.171,-1918.674,-1981.598,-4265.062,-0.0,21093592.155,3.298,0.0,2.572,3.073,21089321.448000003,G24,1275934605446,-2695290.401821148,-4303322.859256789,3846870.796338048,624.9502805454624
7,2020-06-11-US-MTV-1,Pixel4,1275934604446,1,28,GPS_L1,1275934604367795688,11387166.682,-23046777.814,7553865.45,688.67,-574.579,-3011.344,212723.503,-0.0,23523404.631,7.195,0.0,4.788,6.656,23736116.69,G28,1275934605446,-2695290.401821148,-4303322.859256789,3846870.796338048,624.9502805454624
0,2020-06-11-US-MTV-1,Pixel4,1275934605446,1,17,GPS_L1,1275934605371284584,6497500.466,-14056891.199,21994576.289,2669.672,303.765,-610.61,83720.831,0.003,22477459.923,3.298,0.0,3.268,4.148,22561173.338000003,G17,1275934606446,-2695306.6336432677,-4303314.29158931,3846869.283623564,616.4239588187324
1,2020-06-11-US-MTV-1,Pixel4,1275934605446,1,15,GPS_L1,1275934605360956579,-25054188.717,-4726423.586,-8418408.75,998.891,-381.476,-2828.787,-67437.081,0.002,25573717.928,10.493,0.0,6.899,25.121,25506248.827,G15,1275934606446,-2695306.6336432677,-4303314.29158931,3846869.283623564,616.4239588187324
2,2020-06-11-US-MTV-1,Pixel4,1275934605446,1,19,GPS_L1,1275934605377211992,-2268587.506,-14895431.514,21575157.108,2781.126,368.933,536.717,-43923.77,0.001,20700467.709,4.197,0.0,2.458,2.942,20656538.538999997,G19,1275934606446,-2695306.6336432677,-4303314.29158931,3846869.283623564,616.4239588187324
3,2020-06-11-US-MTV-1,Pixel4,1275934605446,1,2,GPS_L1,1275934605373064559,-13741281.592,-22757331.253,273568.776,219.03,-183.156,3169.62,-141077.445,-0.002,21943836.843,6.296,0.0,3.236,3.68,21802752.481999997,G2,1275934606446,-2695306.6336432677,-4303314.29158931,3846869.283623564,616.4239588187324
4,2020-06-11-US-MTV-1,Pixel4,1275934605446,1,6,GPS_L1,1275934605376441462,-5024768.139,-24079294.6,10010431.122,761.344,1026.529,2870.338,-86063.381,-0.002,20931466.792,1.499,0.0,2.543,2.914,20845397.953999996,G6,1275934606446,-2695306.6336432677,-4303314.29158931,3846869.283623564,616.4239588187324
5,2020-06-11-US-MTV-1,Pixel4,1275934605446,1,12,GPS_L1,1275934605370705501,-17966931.634,2714130.753,19079469.088,1368.226,-2064.693,1577.866,32157.298,-0.002,22651064.639,2.398,0.0,3.738,5.205,22683212.994,G12,1275934606446,-2695306.6336432677,-4303314.29158931,3846869.283623564,616.4239588187324
