collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2020-05-21-US-MTV-2,Pixel4,1274131364434,37.6289273733,-122.4262947233,65.36,64.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131365434,37.6289273733,-122.4262947217,65.36,65.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131366434,37.6289273733,-122.4262947217,65.36,66.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131367434,37.6289273733,-122.4262947217,65.36,67.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131368434,37.6289273733,-122.4262947217,65.36,68.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131369434,37.6289273733,-122.4262947217,65.36,69.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131370434,37.6289273733,-122.4262947222,65.36,70.43,2.30,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131371434,37.6289273733,-122.4262947217,65.36,71.43,2.23,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131372434,37.6289273733,-122.4262947217,65.36,72.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131373434,37.6289273733,-122.4262947217,65.36,73.43,2.50,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131374434,37.6289273733,-122.4262947217,65.36,74.43,2.50,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131375434,37.6289273733,-122.4262947222,65.36,75.43,2.50,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131376434,37.6289273733,-122.4262947233,65.36,76.43,2.50,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131377434,37.6289273722,-122.4262947233,65.36,77.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131378434,37.6289273728,-122.4262947233,65.36,78.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131379434,37.6289273717,-122.4262947233,65.36,79.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131380434,37.6289273728,-122.4262947233,65.36,80.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131381434,37.6289273722,-122.4262947233,65.36,81.43,2.27,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131382434,37.6289273722,-122.4262947233,65.36,82.43,2.13,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131383434,37.6289273722,-122.4262947239,65.36,83.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131384434,37.6289273733,-122.4262947233,65.36,84.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131385434,37.6289273733,-122.4262947233,65.36,85.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131386434,37.6289273728,-122.4262947233,65.36,86.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131387434,37.6289273733,-122.4262947222,65.36,87.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131388434,37.6289273733,-122.4262947228,65.36,88.43,2.70,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131389434,37.6289273733,-122.4262947228,65.36,89.43,2.70,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131390434,37.6289273733,-122.4262947217,65.36,90.43,2.70,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131391434,37.6289273733,-122.4262947222,65.36,91.43,2.70,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131392434,37.6289273733,-122.4262947233,65.36,92.43,2.60,0.00,0.00,154.30
2020-05-21-US-MTV-2,Pixel4,1274131393434,37.6289273795,-122.4262947250,65.36,93.43,2.50,0.00,0.00,154.30
